total_time,round_number,boosting_type,class_weight,colsample_bytree,importance_type,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,n_estimators,n_jobs,num_leaves,objective,random_state,reg_alpha,reg_lambda,silent,subsample,subsample_for_bin,subsample_freq,feature_fraction,seed,correlation,corr_sharpe,corr_mean,corr_std,max_drawdown,feature_exposure,max_feature_exposure
109.3971,260,gbdt,,1,split,0.04,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0242,0.9219,0.0246,0.0267,-0.0631,0.0742,0.2496
111.9092,260,gbdt,,1,split,0.04,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0241,1.0134,0.0245,0.0242,-0.0476,0.0736,0.2462
111.2904,260,gbdt,,1,split,0.04,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0244,0.9468,0.0248,0.0262,-0.0487,0.0735,0.2476
114.9312,260,gbdt,,1,split,0.04,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0232,0.8983,0.0237,0.0263,-0.0672,0.0737,0.247
118.798,260,gbdt,,1,split,0.04,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0226,0.9077,0.023,0.0253,-0.045,0.0732,0.2473
129.0989,260,gbdt,,1,split,0.022,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.025,0.924,0.0254,0.0275,-0.0648,0.0751,0.2619
134.2505,260,gbdt,,1,split,0.022,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0246,0.9283,0.025,0.027,-0.057,0.0753,0.2612
137.2006,260,gbdt,,1,split,0.022,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0248,0.9413,0.0253,0.0269,-0.0523,0.0753,0.2604
143.9722,260,gbdt,,1,split,0.022,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.024,0.9426,0.0245,0.0259,-0.0605,0.0745,0.2617
150.669,260,gbdt,,1,split,0.022,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0251,0.9914,0.0256,0.0258,-0.0443,0.0748,0.2646
137.1859,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0244,0.9554,0.0248,0.026,-0.0605,0.0742,0.2642
140.9805,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0242,0.9417,0.0246,0.0261,-0.0499,0.0735,0.2599
144.5336,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0249,0.9712,0.0253,0.0261,-0.0642,0.0739,0.2641
152.0679,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0242,0.9468,0.0247,0.0261,-0.0705,0.0734,0.2607
150.9035,260,gbdt,,1,split,0.024,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0244,0.9865,0.0249,0.0252,-0.0481,0.0735,0.2641
134.8383,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0239,0.9175,0.0243,0.0265,-0.0602,0.0726,0.2618
134.4699,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0239,0.9452,0.0244,0.0258,-0.0482,0.0727,0.2648
140.4433,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0238,0.9199,0.0243,0.0264,-0.0488,0.0721,0.2625
148.2997,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0254,0.9507,0.0258,0.0271,-0.0636,0.0726,0.2659
153.782,260,gbdt,,1,split,0.026,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0239,0.972,0.0244,0.0251,-0.0458,0.0718,0.2647
136.8332,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0259,0.9844,0.0264,0.0268,-0.0595,0.0716,0.2648
145.0543,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0239,0.9394,0.0244,0.0259,-0.0491,0.0707,0.2605
142.2432,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0229,0.8958,0.0234,0.0261,-0.0568,0.0718,0.2653
152.0874,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0236,0.9162,0.024,0.0262,-0.0633,0.0709,0.2604
152.9809,260,gbdt,,1,split,0.028,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0252,0.9955,0.0256,0.0257,-0.043,0.0708,0.2623
133.1882,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0249,0.9644,0.0254,0.0263,-0.0502,0.0705,0.2647
137.5452,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0234,0.9051,0.0238,0.0263,-0.0446,0.0705,0.2616
139.9279,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0236,0.9468,0.0239,0.0253,-0.0461,0.0706,0.2696
148.1158,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0231,0.8849,0.0235,0.0265,-0.0567,0.07,0.261
151.6225,260,gbdt,,1,split,0.03,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0243,0.9628,0.0247,0.0257,-0.0462,0.0702,0.263
137.7592,260,gbdt,,1,split,0.032,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.025,1.0095,0.0254,0.0252,-0.0442,0.0695,0.2625
140.203,260,gbdt,,1,split,0.032,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0235,0.9073,0.0239,0.0264,-0.0546,0.0698,0.2602
142.7815,260,gbdt,,1,split,0.032,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0236,0.9211,0.0241,0.0261,-0.0561,0.0684,0.2607
148.8741,260,gbdt,,1,split,0.032,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0243,0.9755,0.0246,0.0253,-0.0552,0.0697,0.261
148.484,260,gbdt,,1,split,0.032,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0243,0.9593,0.0247,0.0258,-0.0445,0.0698,0.2645
129.3303,260,gbdt,,1,split,0.034,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0249,1.0552,0.0252,0.0239,-0.0378,0.0687,0.2609
131.9567,260,gbdt,,1,split,0.034,4,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0243,0.9393,0.0247,0.0263,-0.0466,0.0688,0.2664
